2026-03-17 16:06:45 | WARNING  | scraper.viralagenda | HTTP error for https://www.viralagenda.com/pt/viana-do-castelo/culture: 404 Client Error: Not Found for url: https://www.viralagenda.com/pt/viana-do-castelo/culture
2026-03-17 16:06:45 | INFO     | scraper.viralagenda | Scraped 108 events from viralagenda
2026-03-17 16:08:01 | INFO     | scraper.viralagenda | Starting scraper: viralagenda
2026-03-17 16:08:04 | WARNING  | scraper.viralagenda | HTTP error for https://www.viralagenda.com/pt/viana-do-castelo?page=2: 404 Client Error: Not Found for url: https://www.viralagenda.com/pt/viana-do-castelo?page=2
2026-03-17 16:08:06 | WARNING  | scraper.viralagenda | HTTP error for https://www.viralagenda.com/pt/viana-do-castelo/concerts?page=2: 404 Client Error: Not Found for url: https://www.viralagenda.com/pt/viana-do-castelo/concerts?page=2
2026-03-17 16:08:08 | WARNING  | scraper.viralagenda | HTTP error for https://www.viralagenda.com/pt/viana-do-castelo/sports?page=2: 404 Client Error: Not Found for url: https://www.viralagenda.com/pt/viana-do-castelo/sports?page=2
2026-03-17 16:08:09 | WARNING  | scraper.viralagenda | HTTP error for https://www.viralagenda.com/pt/viana-do-castelo/festivals?page=2: 404 Client Error: Not Found for url: https://www.viralagenda.com/pt/viana-do-castelo/festivals?page=2
2026-03-17 16:08:11 | WARNING  | scraper.viralagenda | HTTP error for https://www.viralagenda.com/pt/viana-do-castelo/tradition?page=2: 404 Client Error: Not Found for url: https://www.viralagenda.com/pt/viana-do-castelo/tradition?page=2
2026-03-17 16:08:13 | WARNING  | scraper.viralagenda | HTTP error for https://www.viralagenda.com/pt/viana-do-castelo/cinema-video?page=2: 404 Client Error: Not Found for url: https://www.viralagenda.com/pt/viana-do-castelo/cinema-video?page=2
2026-03-17 16:08:15 | WARNING  | scraper.viralagenda | HTTP error for https://www.viralagenda.com/pt/viana-do-castelo/literature?page=2: 404 Client Error: Not Found for url: https://www.viralagenda.com/pt/viana-do-castelo/literature?page=2
2026-03-17 16:08:17 | WARNING  | scraper.viralagenda | HTTP error for https://www.viralagenda.com/pt/viana-do-castelo/meetings?page=2: 404 Client Error: Not Found for url: https://www.viralagenda.com/pt/viana-do-castelo/meetings?page=2
2026-03-17 16:08:17 | INFO     | scraper.viralagenda | Scraped 172 events from viralagenda
2026-03-17 16:08:36 | INFO     | scraper.viralagenda | Starting scraper: viralagenda
2026-03-17 16:08:38 | WARNING  | scraper.viralagenda | HTTP error for https://www.viralagenda.com/pt/viana-do-castelo?page=2: 404 Client Error: Not Found for url: https://www.viralagenda.com/pt/viana-do-castelo?page=2
2026-03-17 16:08:40 | WARNING  | scraper.viralagenda | HTTP error for https://www.viralagenda.com/pt/viana-do-castelo/concerts?page=2: 404 Client Error: Not Found for url: https://www.viralagenda.com/pt/viana-do-castelo/concerts?page=2
2026-03-17 16:08:43 | WARNING  | scraper.viralagenda | HTTP error for https://www.viralagenda.com/pt/viana-do-castelo/sports?page=2: 404 Client Error: Not Found for url: https://www.viralagenda.com/pt/viana-do-castelo/sports?page=2
